date,sm5,sm10,sm20,sm40,st5,st10,st20,st40,nodes,obs48
2020-11-18,0.2200787,0.2656813,0.242144,0.2024403,1.68708,2.3475,2.97729,3.94729,10,48
2020-11-19,0.2157271,0.2642877,0.2416436,0.2021979,0.64313,1.32333,2.2025,3.76687,10,48
2020-11-20,0.21514,0.2635747,0.2413278,0.2017386,0.6375,1.15833,1.89063,3.46688,10,48
2020-11-21,0.2136995,0.2634716,0.2411735,0.2014965,0.6225,1.11875,1.7725,3.28083,10,48
2020-11-22,0.2088282,0.2630264,0.2410378,0.2013413,0.56979,1.05563,1.685,3.14708,10,48
2020-11-23,0.2026997,0.2611341,0.2408303,0.2011686,0.4175,0.94208,1.56312,3.02812,10,48
2020-11-24,0.1995135,0.2538965,0.2403223,0.2008912,0.28292,0.83667,1.45458,2.90958,10,48
2020-11-25,0.1986326,0.2480823,0.2396512,0.2006094,0.29104,0.78313,1.36563,2.80417,10,48
2020-11-26,0.1953371,0.2435571,0.2389542,0.2003801,0.13167,0.69396,1.30396,2.71521,10,48
2020-11-27,0.1880162,0.2369708,0.23628,0.200124,-0.23146,0.45313,1.17667,2.61958,10,48
2020-11-28,0.1770935,0.231758,0.2311718,0.1997831,-0.57729,0.18542,0.99375,2.49562,10,48
2020-11-29,0.1688429,0.2245818,0.2269138,0.1992199,-0.82021,-0.0475,0.81167,2.36854,10,48
2020-11-30,0.1633415,0.2182912,0.2193095,0.1985287,-0.97042,-0.24417,0.62729,2.23458,10,48
2020-12-01,0.1579032,0.2138652,0.2130345,0.1977336,-1.15708,-0.41333,0.47063,2.09875,10,48
2020-12-02,0.1529225,0.2097611,0.209855,0.1967869,-1.27708,-0.56625,0.31875,1.97729,10,48
2020-12-03,0.1496492,0.2046556,0.2071839,0.1956394,-1.39229,-0.68896,0.18458,1.86042,10,48
2020-12-04,0.1485922,0.2008594,0.2049374,0.1940836,-1.34271,-0.71854,0.08417,1.75333,10,48
2020-12-05,0.1477905,0.1984543,0.2028503,0.1917407,-1.35167,-0.74937,0.01833,1.65729,10,48
2020-12-06,0.146291,0.1956035,0.2003527,0.1892566,-1.51208,-0.87417,-0.06438,1.565,10,48
2020-12-07,0.144004,0.1921613,0.1967365,0.1873129,-1.75229,-1.04229,-0.20146,1.48458,10,48
2020-12-08,0.1419082,0.188966,0.1923746,0.1851958,-1.9125,-1.19708,-0.34687,1.38625,10,48
2020-12-09,0.1406298,0.1863432,0.188694,0.1816875,-1.94458,-1.28333,-0.44396,1.30937,10,48
2020-12-10,0.1401231,0.1846842,0.186017,0.1788735,-1.93708,-1.29167,-0.50875,1.19938,10,48
2020-12-11,0.1382795,0.1821051,0.182737,0.1770589,-2.18458,-1.46479,-0.625,1.10875,10,48
2020-12-12,0.1347833,0.1779158,0.1769585,0.1751908,-2.69375,-1.84021,-0.86042,1.01312,10,48
2020-12-13,0.130941,0.1731936,0.1699797,0.1723122,-3.22979,-2.27583,-1.15917,0.87396,10,48
2020-12-14,0.128488,0.1695692,0.1641054,0.1693177,-3.63667,-2.655,-1.47104,0.69271,10,48
2020-12-15,0.1254927,0.1659912,0.1589039,0.1669851,-4.19542,-3.14083,-1.85042,0.48917,10,48
